CTRY,YEAR,CIRI,COW,POLITY,UNCTRY,UNREG,UNSUBREG,PHYSINT,DISAP,KILL,POLPRIS,TORT,OLD_EMPINX,NEW_EMPINX,ASSN,FORMOV,DOMMOV,OLD_MOVE,SPEECH,ELECSD,OLD_RELFRE,NEW_RELFRE,WORKER,WECON,WOPOL,WOSOC,INJUD
Afghanistan,1981,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,
Afghanistan,1982,101,700,700,4,142,62,0,0,0,0,0,2,,0,,,0,0,0,1,,0,0,1,0,
Afghanistan,1983,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,1,0,
Afghanistan,1984,101,700,700,4,142,62,0,0,0,0,0,1,,0,,,0,0,1,0,,0,0,1,0,
Afghanistan,1985,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,1,0,
Afghanistan,1986,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,1,0,
Afghanistan,1987,101,700,700,4,142,62,0,0,0,0,0,1,,0,,,0,0,1,0,,0,0,1,0,
Afghanistan,1988,101,700,700,4,142,62,0,0,0,0,0,2,,0,,,0,0,0,1,,0,0,1,0,
Afghanistan,1989,101,700,700,4,142,62,0,0,0,0,0,2,,0,,,0,0,0,1,,0,0,1,0,
Afghanistan,1990,101,700,700,4,142,62,0,0,0,0,0,2,,0,,,0,0,0,1,,0,0,1,0,
Afghanistan,1991,101,700,700,4,142,62,1,0,0,0,1,0,,0,,,0,0,0,0,,0,0,0,0,
Afghanistan,1992,101,700,700,4,142,62,,-77,-77,-77,-77,,,0,,,-77,-77,-77,-77,,-77,-77,-77,0,
Afghanistan,1993,101,700,700,4,142,62,,-77,-77,-77,-77,,,1,,,-77,-77,-77,-77,,-77,-77,-77,0,
Afghanistan,1994,101,700,700,4,142,62,,-77,-77,-77,-77,,,0,,,-77,-77,-77,-77,,-77,-77,-77,0,
Afghanistan,1995,101,700,700,4,142,62,,-77,-77,-77,-77,,,0,,,-77,-77,-77,-77,,-77,-77,-77,0,
Afghanistan,1996,101,700,700,4,142,62,0,0,0,0,0,3,,0,,,1,1,0,0,,0,0,0,0,
Afghanistan,1997,101,700,700,4,142,62,0,0,0,0,0,1,,0,,,0,1,0,0,,0,0,0,0,
Afghanistan,1998,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,
Afghanistan,1999,101,700,700,4,142,62,0,0,0,0,0,1,,0,,,0,1,0,0,,0,0,0,0,
Afghanistan,2000,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,
Afghanistan,2001,101,700,700,4,142,62,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,
Afghanistan,2002,101,700,700,4,142,62,3,1,1,0,1,4,,0,,,1,1,1,0,,0,0,0,0,
Afghanistan,2003,101,700,700,4,142,62,,-66,-66,-66,-66,1,,0,,,0,0,1,0,,0,0,1,0,
Afghanistan,2004,101,700,700,4,142,62,,-66,-66,-66,-66,2,,1,,,0,1,1,0,,0,0,2,1,
Afghanistan,2005,101,700,700,4,142,62,4,2,1,1,0,1,,1,,,0,0,1,0,,0,0,2,,
Afghanistan,2006,101,700,700,4,142,62,4,2,1,1,0,1,,1,,,0,0,1,0,,0,0,2,,
Afghanistan,2007,101,700,700,4,142,62,4,2,1,1,0,,3,1,1,0,,0,1,,0,0,0,3,1,0
Albania,1981,104,339,339,8,150,39,1,1,0,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
Albania,1982,104,339,339,8,150,39,2,2,0,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
Albania,1983,104,339,339,8,150,39,2,2,0,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
Albania,1984,104,339,339,8,150,39,1,1,0,0,0,1,,0,,,0,1,0,0,,0,1,2,1,
Albania,1985,104,339,339,8,150,39,,2,-999,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
Albania,1986,104,339,339,8,150,39,,2,-999,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
Albania,1987,104,339,339,8,150,39,,2,-999,0,1,1,,0,,,0,1,0,0,,0,1,2,1,
Albania,1988,104,339,339,8,150,39,,2,-999,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
Albania,1989,104,339,339,8,150,39,,2,-999,0,0,0,,0,,,0,0,0,0,,0,1,2,1,
