Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Algeria,.,.,.,.,.,.,.,.,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.7,0.8,1,0.9,1,0.7
       Bahrain,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5,0.8,1.4,31.5,107.3,14.9,26,22.6,18,7.5,45.6,108.8,28.3,21.2,17.1,16,4.6
       Egypt,.,0.5,"3,766.70",2,"1,157.90","1,775.50","2,500.40","2,483.70","2,071.10","2,143.00","2,182.30","2,115.30","2,036.10","1,954.80","1,892.60","1,845.80","1,806.00","1,800.70","1,782.40","1,792.20","1,673.10","1,651.00","1,690.40","1,634.60","1,556.20","1,528.70","1,501.70","1,452.00","1,403.80","1,355.80","1,332.20","1,290.70"
       Iraq,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.9,.,.,0.2,.,1.2,103.3,"1,249.20","1,629.40","5,753.90","4,241.70","4,369.00"
       Israel,"2,895.30","2,712.70","10,041.80","2,308.10","2,943.10","2,754.60","3,203.40","3,089.40","2,464.20","2,963.10","3,017.50","2,925.40","2,816.00","2,815.10","2,679.80","2,619.40","3,241.20","2,672.60","2,506.30","2,390.70","2,312.30","2,282.20","2,352.40","3,482.90","2,381.50","2,421.50","3,556.60","2,430.40","2,426.60","2,374.80","2,395.70","2,380.60"
       Jordan,379,345.6,275.3,183,93.3,111.9,99.4,212.1,161.7,143,70.3,45.9,18.4,105.4,30.7,29.2,13.2,18.8,44.6,277.8,80.4,88.6,200.7,212.1,91.6,119.9,738.8,234.3,334.3,221.9,215.7,301.3
       Lebanon,72.5,1.5,108.1,51.6,42.7,20.8,191.7,28.4,1.2,0.8,0.8,0.6,0.6,0.2,.,.,0.8,0.4,10.8,7.3,3.5,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,32.1,10,8.4
       Morocco,89.1,120,115.8,59.9,72.3,61.2,190.9,127.9,87.1,61.7,76.4,86.1,82.9,66.5,59.5,32.7,74.9,44.7,5.6,31.5,7.5,6.8,10.7,6.2,10.8,9.6,21.3,14.6,21.3,19,14.2,5.3
       Oman,.,.,.,57.7,52.6,59.2,56.7,72.9,70.7,15.8,0.1,0.2,0.2,0.2,4.7,0.8,1.5,0.3,0.2,0.9,0.9,5.6,1.1,0.3,0.3,29.9,93.9,28.8,22.8,15.8,15,6.1
       Saudi Arabia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,.,.,.,.
       Tunisia,73.7,70.8,52.9,36.2,32.9,189.3,192.1,202.9,117.2,112.8,57.1,46.2,49.1,47.2,16.9,15.8,16.3,2.4,9.1,8.6,2.9,42,9.2,8.8,10.3,11.7,7.4,14.7,13.3,10.8,10.5,10.1
       Yemen,1,2.1,1.5,1.1,2,24,13.1,9.2,11.2,5.3,3.9,3.3,2.3,0.9,0,.,.,.,.,0.1,0.1,0.2,0.2,0.5,0.2,24.1,3.4,23.3,14.3,9.8,11,4.9
