Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Australia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.
       Fiji,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.5,.,.,.,0.3,0.6,0.8,.,.
       Papua New Guinea,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3
       Samoa,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,.,.,.,0,0
       Solomon Islands,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0,0,0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0,0.1
       Tonga,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.4,0.4,0.6,0.7
       Vanuatu,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oceania (not specified),.,.,.,.,0.1,0.3,0.8,0.7,0.3,0.1,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Eurasia (Total),.,.,.,.,.,.,.,.,.,.,.,.,.,5.1,24.6,17.2,51.8,66.7,50.7,86.3,96.1,165.8,175.5,390.7,160.5,188.9,156.7,255.4,167.1,47.1
       Armenia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,10.5,6.5,3.8,9.7,6.2,4.9,3.5
       Azerbaijan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,12.4,6.8,4,9.8,5.5,4.9,3.9
       Belarus,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.6,0.3,0.4,0.4,0.1,.,.,.,0.1,.,.,.,0.1,.,.
       Georgia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.4,1.3,7.3,11.6,4.5,12.3,129.4,10.5,18.6,15.6,15.4,11.3,9.8
       Kazakhstan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.7,0.7,1.3,2.4,3.6,2.9,2.5,5.3,12.4,5.1,4.7,6.5,5.9,4.5,2.3
       Kyrgyzstan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.3,1.4,2.1,2.4,1.7,4.9,26.7,6.1,5.7,3.3,3.5,2.6,1.8
       Moldova,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.4,1.4,5,2.2,2.1,5.1,4.7,2.4,2.5,2.2,2.6,1.5,1.1
       Russia,.,.,.,.,.,.,.,.,.,.,.,.,.,5,23.7,12.5,44.2,59.4,23.1,49.2,65.1,139.3,111,76,66.4,80.5,81.8,167.1,115.1,0.1
       Tajikistan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.1,0.4,2.6,0.9,1.5,0.6,0.9
       Turkmenistan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.3,1,1,1.1,1.4,2.1,0.5,1,0.9,1.2,1.3,0.7,0.3
       Ukraine,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.5,3,1.9,3.4,8,6.4,7.9,5.6,12.9,50.5,8.3,11.6,8.2,16.6,11.6,7.9
       Uzbekistan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.4,1.6,2.5,2.7,2.8,8.5,49.2,11.2,0.5,.,.,.,.
Eurasia (not specified),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,4.2,0.6,10.1,9.1,0.2,5.8,13,9.3,35.9,53.5,17.4,29.5,9.3,15.5
Eastern Europe (Total),.,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0,1.4,3.7,15.2,5.3,18.1,225.1,89.9,313.8,166.3,263.7,215.6,217.1,252.6,183.4,199.7,120.7,108.8,79.1
       Albania,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.2,0.4,1.1,7.2,1.1,2.9,6.7,2.9,11.3,5.7,10.2,7,5.5,5,4.1,2.8
       Bosnia & Herzegovina,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,130.8,7.5,7.4,23.9,64,31.8,28.2,15.5,34.7,10.3,10.4,9.7,4.3
       Bulgaria,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,0.4,0.4,0.6,7.6,5,6.5,13,7.4,20.4,11.4,23.4,11.1,11.1,12.1,11.3,8.2
       Croatia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.3,0.5,0.6,0.5,5.5,8.9,10,7.1,2,0.8,0.5,0.1,0.3
       Czech Republic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,0.7,0.7,12.6,12.6,22.4,10.2,9.1,11.9,13.9,32,11.4,8.7,6.3,4.8,4.4
       Estonia,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.8,0.3,1.9,6.7,3.8,14.4,6.7,6,8.3,8.6,11.9,8.3,6.9,7.8,5.1,2.6
       Hungary,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.9,11,1,1.1,5.5,14.3,22.7,10.3,9.1,12.4,13.9,23.9,10.1,9.8,4.4,3.9,2.1
       Kosovo,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.5,40.9,13.2,18.1,.,7.9,.,.,.,0.3
       Latvia,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.5,1.6,6.7,2.6,9.8,6.8,6,7.2,8.6,11.9,9.3,7.6,7.6,5.1,2.5
       Lithuania,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.2,1.6,4.5,2.7,12.6,6.9,6.8,8.7,8.9,13.5,8.7,8.2,6,6.7,2.6
