year_1,year_2,ccode_mean,ccode_min,ccode_max,country_min,country_max,group_min,group_max,numcode_mean,numcode_min,numcode_max,region_mean,region_min,region_max,year_mean,year_min,year_max,ecdis_mean,ecdis_min,ecdis_max,poldis_mean,poldis_min,poldis_max,agg_cnt
1940,1940,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1940.00000000,1940,1940,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1941,1941,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1941.00000000,1941,1941,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1942,1942,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1942.00000000,1942,1942,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1943,1943,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1943.00000000,1943,1943,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1944,1944,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1944.00000000,1944,1944,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1945,1945,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1945.00000000,1945,1945,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1946,1946,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1946.00000000,1946,1946,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1947,1947,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1947.00000000,1947,1947,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1948,1948,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1948.00000000,1948,1948,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1949,1949,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1949.00000000,1949,1949,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1950,1950,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1950.00000000,1950,1950,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1951,1951,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1951.00000000,1951,1951,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1952,1952,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1952.00000000,1952,1952,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1953,1953,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1953.00000000,1953,1953,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1954,1954,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1954.00000000,1954,1954,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1955,1955,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1955.00000000,1955,1955,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1956,1956,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1956.00000000,1956,1956,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1957,1957,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1957.00000000,1957,1957,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1958,1958,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1958.00000000,1958,1958,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1959,1959,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1959.00000000,1959,1959,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1960,1960,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1960.00000000,1960,1960,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
1961,1961,2.00000000,   2,   2,"USA","USA","AFRICAN-AMERICANS","NATIVE HAWAIIANS",202.50000000, 201, 204,0.00000000,   0,   0,1961.00000000,1961,1961,-99.00000000, -99, -99,-99.00000000, -99, -99,   4
