scode,ccode,country,year,ind,intind,intviol,intwar,civviol,civwar,ethviol,ethwar,inttot,civtot,actotal,nborder,totint,totciv,totalac,nint,nciv,nac,region,nregion,regint,regciv,regac,nrint,nrciv,nrac
AFG,700,Afghanistan,1946,1,0,0,0,0,0,0,0,0,0,0,3,0,8,8,0,2,2,6,4,0,8,8,0,2,2
AFG,700,Afghanistan,1947,1,0,0,0,0,0,0,0,0,0,0,4,1,19,20,1,3,3,6,5,1,19,20,1,3,3
AFG,700,Afghanistan,1948,1,0,0,0,0,0,0,0,0,0,0,4,0,14,14,0,2,2,6,7,1,19,20,1,3,3
AFG,700,Afghanistan,1949,1,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,2,2,6,9,1,15,16,1,4,4
AFG,700,Afghanistan,1950,1,0,0,0,0,0,0,0,0,0,0,4,4,10,14,1,1,1,6,9,5,15,20,2,2,2
AFG,700,Afghanistan,1951,1,0,0,0,0,0,0,0,0,0,0,4,2,4,6,1,1,1,6,9,3,9,12,2,2,2
AFG,700,Afghanistan,1952,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,9,1,7,8,1,2,2
AFG,700,Afghanistan,1953,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,9,1,7,8,1,2,2
AFG,700,Afghanistan,1954,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,1,6,9,2,7,9,2,2,3
AFG,700,Afghanistan,1955,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,9,0,6,6,0,2,2
AFG,700,Afghanistan,1956,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3
AFG,700,Afghanistan,1957,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3
AFG,700,Afghanistan,1958,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3
AFG,700,Afghanistan,1959,1,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,1,1,6,9,0,12,12,0,3,3
AFG,700,Afghanistan,1960,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3
AFG,700,Afghanistan,1961,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,2,2,6,9,2,11,13,1,4,4
AFG,700,Afghanistan,1962,1,0,0,0,0,0,0,0,0,0,0,4,1,5,6,1,2,2,6,9,2,11,13,2,4,4
AFG,700,Afghanistan,1963,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,2,2,6,9,0,11,11,0,4,4
AFG,700,Afghanistan,1964,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,1,1,6,9,0,10,10,0,3,3
AFG,700,Afghanistan,1965,1,0,0,0,0,0,0,0,0,0,0,4,3,4,7,1,1,2,6,9,6,10,16,2,3,4
AFG,700,Afghanistan,1966,1,0,0,0,0,0,0,0,0,0,0,4,0,9,9,0,1,1,6,9,0,15,15,0,3,3
AFG,700,Afghanistan,1967,1,0,0,0,0,0,0,0,0,0,0,4,0,9,9,0,1,1,6,9,0,15,15,0,3,3
AFG,700,Afghanistan,1968,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,1,1,6,9,0,12,12,0,3,3
AFG,700,Afghanistan,1969,1,0,0,0,0,0,0,0,0,0,0,4,2,5,7,2,1,2,6,9,1,12,13,1,3,3
AFG,700,Afghanistan,1970,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,1,1,6,9,0,12,12,0,3,3
