statenum stateid year pop rgdpch gdppc origin
2 USA 1950 157813.00 11233.41 1867.01 0
2 USA 1951 160015.50 11728.46 2122.50 0
2 USA 1952 162515.50 11867.21 2207.51 0
2 USA 1953 165234.80 12154.52 2286.09 0
2 USA 1954 168106.50 11841.87 2242.88 0
2 USA 1955 171074.40 12650.93 2410.75 0
2 USA 1956 174094.10 12668.40 2490.27 0
2 USA 1957 177132.20 12596.69 2576.37 0
2 USA 1958 180165.20 12237.84 2579.33 0
2 USA 1959 183178.00 12789.69 2739.66 0
2 USA 1960 186158.30 12892.02 2801.57 0
2 USA 1961 189091.10 12940.68 2849.75 0
2 USA 1962 191953.90 13568.40 3017.32 0
2 USA 1963 194714.20 14007.61 3138.71 0
2 USA 1964 197335.60 14665.62 3331.92 0
2 USA 1965 199795.90 15492.84 3573.27 0
2 USA 1966 202078.80 16248.21 3869.42 0
2 USA 1967 204198.60 16370.62 4033.96 0
2 USA 1968 206201.90 17072.56 4360.02 0
2 USA 1969 208155.60 17501.08 4680.44 0
2 USA 1970 210111.10 17321.48 4878.37 0
2 USA 1971 212086.80 17792.90 5250.68 0
2 USA 1972 214079.10 18647.05 5724.05 0
2 USA 1973 216091.40 19551.84 6338.98 0
2 USA 1974 218120.20 19207.30 6814.59 0
2 USA 1975 220165.00 18931.99 7376.29 0
2 USA 1976 222229.70 19861.88 8143.83 0
2 USA 1977 224324.80 20652.32 8979.39 0
2 USA 1978 226462.40 21615.18 10054.21 0
2 USA 1979 228656.90 22041.69 11128.03 0
2 USA 1980 230917.20 21606.15 11990.45 0
2 USA 1981 233253.20 21955.53 13313.43 0
2 USA 1982 235660.60 21313.55 13704.03 0
2 USA 1983 238116.70 22154.36 14736.47 0
2 USA 1984 240589.00 23671.96 16221.44 0
2 USA 1985 243055.60 24387.45 17228.98 0
2 USA 1986 245505.50 24951.98 18034.63 0
2 USA 1987 247949.30 25520.70 18963.55 0
2 USA 1988 250413.10 26275.36 20222.18 0
2 USA 1989 252934.30 26927.17 21514.28 0
2 USA 1990 255539.00 27096.98 22530.02 0
2 USA 1991 258233.30 26688.35 23029.18 0
2 USA 1992 261005.20 27342.67 24086.88 0
2 USA 1993 263838.90 27871.53 25031.18 0
2 USA 1994 266711.10 28802.88 26311.62 0
2 USA 1995 269602.80 29248.77 27233.77 0
2 USA 1996 272510.60 30097.68 28484.40 0
2 USA 1997 275433.70 31237.96 29956.03 0
2 USA 1998 278358.40 32297.52 31235.27 0
2 USA 1999 281268.90 33443.54 32766.51 0
2 USA 2000 284153.70 34364.50 34364.50 0
2 USA 2001 287004.00 34162.90 35107.52 0
2 USA 2002 289820.90 34286.24 35944.96 0
2 USA 2003 292616.60 34875.37 37313.33 0
2 USA 2004 295409.60 36098.15 39535.28 0
20 CAN 1950 13737.00 9325.17 1537.30 0
20 CAN 1951 14132.56 9500.52 1699.88 0
20 CAN 1952 14518.77 9913.28 1850.89 0
20 CAN 1953 14909.61 10080.31 1890.38 0
20 CAN 1954 15314.04 9597.69 1809.89 0
20 CAN 1955 15735.99 10116.21 1925.39 0
20 CAN 1956 16174.09 10784.73 2110.39 0
20 CAN 1957 16621.97 10629.83 2148.26 0
20 CAN 1958 17069.07 10489.56 2182.17 0
20 CAN 1959 17502.04 10631.42 2254.97 0
20 CAN 1960 17909.01 10575.74 2271.49 0
20 CAN 1961 18284.01 10567.33 2294.60 0
20 CAN 1962 18630.96 11112.33 2429.94 0
20 CAN 1963 18965.32 11514.44 2533.83 0
20 CAN 1964 19309.34 12138.60 2713.44 0
20 CAN 1965 19678.01 12716.15 2885.34 0
20 CAN 1966 20078.13 13261.35 3105.29 0
20 CAN 1967 20501.87 13209.59 3195.32 0
20 CAN 1968 20931.71 13587.48 3390.85 0
20 CAN 1969 21342.60 14082.16 3667.51 0
20 CAN 1970 21716.85 14089.03 3863.53 0
20 CAN 1971 22048.43 14685.85 4208.84 0
