"","cnames","y","aid"
"1","Algeria","1977",
"2","Bahrain","1977",
"3","Egypt","1977",
"4","Iraq","1977",
"5","Israel","1977","2895.30"
"6","Jordan","1977","379"
"7","Lebanon","1977","72.5"
"8","Morocco","1977","89.1"
"9","Oman","1977",
"10","Saudi Arabia","1977",
"11","Tunisia","1977","73.7"
"12","Yemen","1977","1"
"13","Algeria","1978",
"14","Bahrain","1978",
"15","Egypt","1978","0.5"
"16","Iraq","1978",
"17","Israel","1978","2712.70"
"18","Jordan","1978","345.6"
"19","Lebanon","1978","1.5"
"20","Morocco","1978","120"
"21","Oman","1978",
"22","Saudi Arabia","1978",
"23","Tunisia","1978","70.8"
"24","Yemen","1978","2.1"
"25","Algeria","1979",
"26","Bahrain","1979",
"27","Egypt","1979","3766.70"
"28","Iraq","1979",
"29","Israel","1979","10041.80"
"30","Jordan","1979","275.3"
"31","Lebanon","1979","108.1"
"32","Morocco","1979","115.8"
"33","Oman","1979",
"34","Saudi Arabia","1979",
"35","Tunisia","1979","52.9"
"36","Yemen","1979","1.5"
"37","Algeria","1980",
"38","Bahrain","1980",
"39","Egypt","1980","2"
"40","Iraq","1980",
"41","Israel","1980","2308.10"
"42","Jordan","1980","183"
"43","Lebanon","1980","51.6"
"44","Morocco","1980","59.9"
"45","Oman","1980","57.7"
"46","Saudi Arabia","1980",
"47","Tunisia","1980","36.2"
"48","Yemen","1980","1.1"
"49","Algeria","1981",
"50","Bahrain","1981",
"51","Egypt","1981","1157.90"
"52","Iraq","1981",
"53","Israel","1981","2943.10"
"54","Jordan","1981","93.3"
"55","Lebanon","1981","42.7"
"56","Morocco","1981","72.3"
"57","Oman","1981","52.6"
"58","Saudi Arabia","1981",
"59","Tunisia","1981","32.9"
"60","Yemen","1981","2"
"61","Algeria","1982",
"62","Bahrain","1982",
"63","Egypt","1982","1775.50"
"64","Iraq","1982",
"65","Israel","1982","2754.60"
"66","Jordan","1982","111.9"
"67","Lebanon","1982","20.8"
"68","Morocco","1982","61.2"
"69","Oman","1982","59.2"
"70","Saudi Arabia","1982",
"71","Tunisia","1982","189.3"
"72","Yemen","1982","24"
"73","Algeria","1983",
"74","Bahrain","1983",
"75","Egypt","1983","2500.40"
"76","Iraq","1983",
"77","Israel","1983","3203.40"
"78","Jordan","1983","99.4"
"79","Lebanon","1983","191.7"
"80","Morocco","1983","190.9"
"81","Oman","1983","56.7"
"82","Saudi Arabia","1983",
"83","Tunisia","1983","192.1"
"84","Yemen","1983","13.1"
"85","Algeria","1984",
"86","Bahrain","1984",
"87","Egypt","1984","2483.70"
"88","Iraq","1984",
