ID	Location	SideA	SideA2nd	SideB	SideB2nd	Incomp	Terr	YEAR	Int1	CumInt	Type	StartDate	StartPrec	StartDate2	Startprec2	EpEnd	EpEndDate	EpEndPrec	GWNOA	GWNOA2nd	GWNOB	GWNOB2nd	GWNOLoc	Region	Version
1	Bolivia	Bolivia		Popular Revolutionary Movement		2		1946	2	1	3	6/1/1946	4	6/1/1946	4	1	7/21/1946	-99	145				145	5	4-2008
1	Bolivia	Bolivia		MNR		2		1952	1	1	3	6/1/1946	4	4/9/1952	1	1	4/12/1952	-99	145				145	5	4-2008
1	Bolivia	Bolivia		ELN		2		1967	1	1	3	6/1/1946	4	3/1/1967	3	1	10/16/1967	-99	145				145	5	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1946	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1947	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1948	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1949	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1950	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1951	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1952	1	0	1	8/1/1946	3	8/1/1946	3	0			220				811	3	4-2008
2	Cambodia	France		Khmer Issarak		1	Cambodia	1953	1	0	1	8/1/1946	3	8/1/1946	3	1	12/31/1953	-99	220				811	3	4-2008
3	China	China		Peoples Liberation Army		2		1946	2	1	3	1/1/1946	7	1/1/1946	7	0			710				710	3	4-2008
3	China	China		Peoples Liberation Army		2		1947	2	1	3	1/1/1946	7	1/1/1946	7	0			710				710	3	4-2008
3	China	China		Peoples Liberation Army		2		1948	2	1	3	1/1/1946	7	1/1/1946	7	0			710				710	3	4-2008
3	China	China		Peoples Liberation Army		2		1949	2	1	3	1/1/1946	7	1/1/1946	7	1	10/1/1949	-99	710				710	3	4-2008
4	Greece	Greece		DSE		2		1946	2	1	3	3/1/1946	4	3/1/1946	4	0			350				350	1	4-2008
4	Greece	Greece		DSE		2		1947	2	1	3	3/1/1946	4	3/1/1946	4	0			350				350	1	4-2008
4	Greece	Greece		DSE		2		1948	2	1	3	3/1/1946	4	3/1/1946	4	0			350				350	1	4-2008
4	Greece	Greece		DSE		2		1949	2	1	3	3/1/1946	4	3/1/1946	4	1	10/16/1949	-99	350				350	1	4-2008
5	Indonesia	Netherlands		Indonesian Peoples Army		1	Indonesia	1946	1	0	1	10/13/1945	2	1/1/1946	5	0			210				850	3	4-2008
5	Indonesia	Netherlands		Indonesian Peoples Army		1	Indonesia	1947	1	0	1	10/13/1945	2	1/1/1946	5	0			210				850	3	4-2008
5	Indonesia	Netherlands		Indonesian Peoples Army		1	Indonesia	1948	1	0	1	10/13/1945	2	1/1/1946	5	0			210				850	3	4-2008
5	Indonesia	Netherlands		Indonesian Peoples Army		1	Indonesia	1949	1	0	1	10/13/1945	2	1/1/1946	5	1	6/30/1949	-99	210				850	3	4-2008
6	Iran	Iran		Republic of Kurdistan/KDPI	Russia (Soviet Union)	1	Kurdistan	1946	1	0	4	5/1/1946	3	5/1/1946	3	1	12/16/1946	-99	630			365	630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1966	1	1	3	5/1/1946	3	1/1/1966	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1967	1	1	3	5/1/1946	3	1/1/1966	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1968	1	1	3	5/1/1946	3	1/1/1966	5	1	12/31/1968	-99	630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1979	2	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1980	2	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1981	1	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1982	2	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1983	1	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1984	1	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1985	1	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1986	1	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1987	1	1	3	5/1/1946	3	1/1/1979	5	0			630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1988	1	1	3	5/1/1946	3	1/1/1979	5	1	12/31/1988	-99	630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1990	1	1	3	5/1/1946	3	1/1/1990	5	1	12/31/1990	-99	630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1993	1	1	3	5/1/1946	3	1/1/1993	5	1	12/31/1993	-99	630				630	2	4-2008
6	Iran	Iran		KDPI		1	Kurdistan	1996	1	1	3	5/1/1946	3	1/1/1996	5	1	12/31/1996	-99	630				630	2	4-2008
7	Iran	Iran		Republic of Azerbaijan	Russia (Soviet Union)	1	Azerbaijan	1946	1	0	4	11/19/1945	1	1/1/1946	5	1	12/16/1946	-99	630			365	630	2	4-2008
8	Israel	United Kingdom		IZL [Etzel]		1	Israel	1946	1	0	1	3/1/1939	4	1/1/1946	5	1	12/31/1946	-99	200				666	2	4-2008
9	Laos	France		Lao Issara		1	Laos	1946	1	0	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1947	1	0	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1948	1	0	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1949	1	0	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1950	1	1	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1951	1	1	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1952	1	1	1	3/1/1946	4	3/1/1946	4	0			220				812	3	4-2008
9	Laos	France		Lao Issara		1	Laos	1953	1	1	1	3/1/1946	4	3/1/1946	4	1	10/31/1953	-99	220				812	3	4-2008
10	Philippines	Philippines		HUK		2		1946	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1947	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1948	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1949	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1950	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1951	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1952	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1953	2	1	3	7/1/1946	4	7/1/1946	4	0			840				840	3	4-2008
10	Philippines	Philippines		HUK		2		1954	2	1	3	7/1/1946	4	7/1/1946	4	1	12/31/1954	-99	840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1969	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1970	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1971	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1972	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1973	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1974	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1975	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1976	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1977	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1978	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1979	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1980	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1981	1	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1982	2	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
10	Philippines	Philippines		CPP		2		1983	2	1	3	7/1/1946	4	9/1/1969	4	0			840				840	3	4-2008
