Time Name,Country Name,Country Code,Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)",Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000)"
1960,Afghanistan,AFG,,,,,31.3315122,245,360
1960,Albania,ALB,,,,,62.60536585,115.5,168.6895245
1960,Algeria,DZA,,,,,47.28439024,166,261
1960,American Samoa,ASM,,,,,,,
1960,Andorra,ADO,,,,,,,
1960,Angola,AGO,,,,,33.18678049,,
1960,Antigua and Barbuda,ATG,,,,,62.35365854,,
1960,Argentina,ARG,,,,,65.17214634,56.2,67.5
1960,Armenia,ARM,,,,,66.062,,
1960,Aruba,ABW,,,,,,,
1960,Australia,AUS,,,,,70.81707317,20.20000076,24
1960,Austria,AUT,,,,,68.58560976,37.5,43
1960,Azerbaijan,AZE,,,,,64.30731707,,
1960,"Bahamas, The",BHS,,,,,63.34926829,50.5,67.7
1960,Bahrain,BHR,,,,,55.77073171,94,150
1960,Bangladesh,BGD,,,,,40.47365854,,
1960,Barbados,BRB,,,,,64.52146341,74,90.3
1960,Belarus,BLR,,,,,68.34146341,,
1960,Belgium,BEL,,,,,70.36829268,31.2,34.5
1960,Belize,BLZ,,,,,61.66487805,,
1960,Benin,BEN,,,,,41.68834146,,
1960,Bermuda,BMU,,,,,,,
1960,Bhutan,BTN,,,,,37.29834146,,
1960,Bolivia,BOL,,,,,42.83302439,152,255
1960,Bosnia and Herzegovina,BIH,,,,,60.4102439,105,160
1960,Botswana,BWA,,,,,50.66560976,118.7145399,174
1960,Brazil,BRA,,,,,54.78707317,132.8259668,176.3
1960,Brunei Darussalam,BRN,,,,,62.38780488,63,86.9
1960,Bulgaria,BGR,,,,,69.24756098,45.09999847,56
1960,Burkina Faso,BFA,,,,,36.68673171,180.1,329.9
1960,Burundi,BDI,,,,,41.3844878,144.15,243.6
1960,Cambodia,KHM,,,,,42.59512195,,
1960,Cameroon,CMR,,,,,41.74687805,151,255
1960,Canada,CAN,,,,,71.13317073,27.29999924,32
1960,Cape Verde,CPV,,,,,52.16341463,,
1960,Cayman Islands,CYM,,,,,,,
1960,Central African Republic,CAF,,,,,38.65629268,198.31,348.5
1960,Chad,TCD,,,,,40.96931707,,
1960,Channel Islands,CHI,,,,,71.24297561,,
1960,Chile,CHL,,,,,57.30063415,118,155
1960,China,CHN,,,,,36.3195122,,
1960,Colombia,COL,,,,,56.80317073,77.28,122.5
1960,Comoros,COM,,,,,43.66341463,200,265
1960,"Congo, Dem. Rep.",ZAR,,,,,41.4324878,,
1960,"Congo, Rep.",COG,,,,,47.08385366,115.49,193.2
1960,Costa Rica,CRI,,,,,61.87321951,87,123
1960,Cote d'Ivoire,CIV,,,,,43.97365854,,
1960,Croatia,HRV,,,,,66.03073171,70.4,96.7
1960,Cuba,CUB,,,,,64.21926829,35.40000153,54
1960,Cyprus,CYP,,,,,68.76536585,,
1960,Czech Republic,CZE,,,,,70.34878049,19.89999962,24
1960,Denmark,DNK,,,,,72.17658537,21.5,26
1960,Djibouti,DJI,,,,,38.74307317,,
1960,Dominica,DMA,,,,,,79.8,127.1
1960,Dominican Republic,DOM,,,,,52.11487805,102.264335,153.3
1960,East Asia & Pacific,EAP,,,,,38.91299231,,
1960,Ecuador,ECU,,,,,53.38121951,107,178
1960,"Egypt, Arab Rep.",EGY,,,,,45.95853659,,
1960,El Salvador,SLV,,,,,50.83317073,129,191
1960,Equatorial Guinea,GNQ,,,,,36.88009756,,
1960,Eritrea,ERI,,,,,39.31117073,,
1960,Estonia,EST,,,,,68.54341463,31.1,38
1960,Ethiopia,ETH,,,,,38.69419512,161.9,273.4
1960,Europe & Central Asia,ECA,,,,,,,
1960,Euro area,EMU,,,,,69.45182808,37.56375226,44.53313159
1960,Faeroe Islands,FRO,,,,,,,
1960,Fiji,FJI,,,,,55.99878049,,
1960,Finland,FIN,,,,,68.8197561,21,25
1960,France,FRA,,,,,70.2397561,27.39999962,31.60000038
1960,French Polynesia,PYF,,,,,56.2537561,,
1960,Gabon,GAB,,,,,39.88068293,,
1960,"Gambia, The",GMB,,,,,33.18731707,204.6,360.3
1960,Georgia,GEO,,,,,63.62370732,,
1960,Germany,DEU,,,,,69.54321255,35,40
1960,Ghana,GHA,,,,,45.81560976,125.86,212.4
1960,Greece,GRC,,,,,68.8502439,38.4,46
1960,Greenland,GRL,,,,,,,
1960,Grenada,GRD,,,,,63.15878049,,
1960,Guam,GUM,,,,,61.46219512,,
1960,Guatemala,GTM,,,,,45.89268293,136,202
1960,Guinea,GIN,,,,,35.28,,
1960,Guinea-Bissau,GNB,,,,,34.0835122,,
1960,Guyana,GUY,,,,,56.29634146,,
1960,Haiti,HTI,,,,,42.41443902,,
1960,Heavily indebted poor countries (HIPC),HPC,,,,,40.06806527,163.633847,273.4432243
1960,High income,HIC,,,,,68.73270057,36.65501078,46.20534034
1960,High income: nonOECD,NOC,,,,,62.64063547,,
1960,High income: OECD,OEC,,,,,69.01192784,34.91027381,43.10651952
1960,Honduras,HND,,,,,46.65687805,137.11,204.1
1960,"Hong Kong, China",HKG,,,,,66.04219512,,
1960,Hungary,HUN,,,,,68.00317073,46.40000153,52.90000153
1960,Iceland,ISL,,,,,,17.3,21.8
1960,India,IND,,,,,42.26160976,156.6,234.1
1960,Indonesia,IDN,,,,,41.4902439,128,216
1960,"Iran, Islamic Rep.",IRN,,,,,48.4722439,164,281
1960,Iraq,IRQ,,,,,50.27804878,108.97,158.2
1960,Ireland,IRL,,,,,69.69268293,29.29999924,36
1960,Isle of Man,IMY,,,,,,,
1960,Israel,ISR,,,,,71.68420732,30.8,
1960,Italy,ITA,,,,,69.12390244,43.90000153,52
1960,Jamaica,JAM,,,,,64.35814634,56.02,74.6
1960,Japan,JPN,,,,,67.66609756,30.39999962,39.90000153
1960,Jordan,JOR,,,,,47.1897561,97,139
1960,Kazakhstan,KAZ,,,,,,,
1960,Kenya,KEN,,,,,46.68604878,122,205
1960,Kiribati,KIR,,,,,,,
1960,"Korea, Dem. Rep.",PRK,,,,,55.41073171,85,120
1960,"Korea, Rep.",KOR,,,,,54.15121951,90,127
1960,Kuwait,KWT,,,,,59.75853659,78.1,110.9
1960,Kyrgyz Republic,KGZ,,,,,,,
